Judul,Tahun,Penulis,Publikasi,Dikutip,Link
BETON DENGAN CAMPURAN LIMBAH BATERAI PRIMER,2025,"Authors : D Aprisandi, M Komarudin, SA Rahma, N Farras, AN Patria","Media Bina Ilmiah 19 (6), 4781-4790, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'BETON DENGAN CAMPURAN LIMBAH BATERAI PRIMER'
PENINJAUAN KAWASAN TERUMBU KARANG DAN INFRASTRUKTUR DI PULAU KELAGIAN BESAR SEBAGAI PENUNJANG EKOWISATA BAHARI,2025,"Authors : AR Azzahra, A Herison, AH Kusuma, Y Romdania","Jurnal Industri Pariwisata 7 (2), 167-180, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'PENINJAUAN KAWASAN TERUMBU KARANG DAN INFRASTRUKTUR DI PULAU KELAGIAN BESAR SEBAGAI PENUNJANG EKOWISATA BAHARI'
EKOWISATA MANGROVE CUKU NYI-NYI SESUAI INDEKS KESESUAIAN WISATA DAN DAYA DUKUNG KAWASAN,2025,"Authors : MAAR Kesuma, A Herison, DK Sari, Y Romdania, SM Sefrinta","Jurnal Teknik Sipil dan Arsitektur 30 (1), 68-78, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'EKOWISATA MANGROVE CUKU NYI-NYI SESUAI INDEKS KESESUAIAN WISATA DAN DAYA DUKUNG KAWASAN'
THE IMPACT OF THE SURFACE RUNOFF COEFFICIENT (C) ON LAND UTILIZATION,2025,"Authors : Y Romdania, A Herison","PLANNING MALAYSIA 23, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'THE IMPACT OF THE SURFACE RUNOFF COEFFICIENT (C) ON LAND UTILIZATION'
PENINJAUAN KAWASAN TERUMBU KARANG DAN INFRASTRUKTUR DI PULAU KELAGIAN BESAR SEBAGAI PENUNJANG EKOWISATA BAHARI,2025,"Authors : AR Azzahra, A Herison, AH Kusuma, Y Romdania","Jurnal Industri Pariwisata 7 (2), 167-180, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'PENINJAUAN KAWASAN TERUMBU KARANG DAN INFRASTRUKTUR DI PULAU KELAGIAN BESAR SEBAGAI PENUNJANG EKOWISATA BAHARI'
EKOWISATA MANGROVE CUKU NYI-NYI SESUAI INDEKS KESESUAIAN WISATA DAN DAYA DUKUNG KAWASAN,2025,"Authors : MAAR Kesuma, A Herison, DK Sari, Y Romdania, SM Sefrinta","Jurnal Teknik Sipil dan Arsitektur 30 (1), 68-78, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'EKOWISATA MANGROVE CUKU NYI-NYI SESUAI INDEKS KESESUAIAN WISATA DAN DAYA DUKUNG KAWASAN'
THE IMPACT OF THE SURFACE RUNOFF COEFFICIENT (C) ON LAND UTILIZATION,2025,"Authors : Y Romdania, A Herison","PLANNING MALAYSIA 23, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'THE IMPACT OF THE SURFACE RUNOFF COEFFICIENT (C) ON LAND UTILIZATION'
IMPLEMENTASI PROGRAM PENINGKATAN PERAN PEREMPUAN MENUJU KELUARGA SEHAT SEJAHTERA (P3KSS) STUDI DI KELURAHAN SUMBER AGUNG KECAMATAN KEMILING KOTA BANDAR LAMPUNG,2025,"Authors : F Faradipa, N Tresiana, AA Puspawati","Jurnal Administrative Reform 12 (2), 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'IMPLEMENTASI PROGRAM PENINGKATAN PERAN PEREMPUAN MENUJU KELUARGA SEHAT SEJAHTERA (P3KSS) STUDI DI KELURAHAN SUMBER AGUNG KECAMATAN KEMILING KOTA BANDAR LAMPUNG'
"Distribution Institution Of Subsidized Fuel For Fishermen In Kangkung Village, Bandar Lampung City",2025,"Authors : RL Sitanggang, AA Damai, S Supono, M Riantini, N Tresiana, ...","Journal of Tropical Marine Science 8 (1), 47-56, 2025",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Distribution Institution Of Subsidized Fuel For Fishermen In Kangkung Village, Bandar Lampung City'"
KONVERSI LAHAN SAWAH MENJADI KAWASAN PERMUKIMAN DI KOTA PAYAKUMBUH TAHUN 2012-2022,2025,Authors : M Irsyad,"JURNAL BUANA 9 (3), 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'KONVERSI LAHAN SAWAH MENJADI KAWASAN PERMUKIMAN DI KOTA PAYAKUMBUH TAHUN 2012-2022'
"Pemisahan Anomali Residual dan Regional Menggunakan Metode Moving Average pada Zona Panasbumi Gunung Api Papandayan, Jawa Barat",2025,"Authors : S Adelyra, KW Arianto, N Haerudin, R Mulyasari, K Karyanto, RC Wibowo","JURNAL TEKNIK GEOLOGI: Jurnal Ilmu Pengetahuan dan Teknologi 7 (2), 1-7, 2025",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Pemisahan Anomali Residual dan Regional Menggunakan Metode Moving Average pada Zona Panasbumi Gunung Api Papandayan, Jawa Barat'"
Extraction and Activity Test of Antibacterial Compounds from Limberry Leaves (Triphasia Trifolia) Against Vibrio Sp.,2025,"Authors : N Herdiana, YM Sagala, S Rizal, ME Kustyawati","Journal of Multidisciplinary Applied Natural Science 5 (1), 243-253, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Extraction and Activity Test of Antibacterial Compounds from Limberry Leaves (Triphasia Trifolia) Against Vibrio Sp.'
In vivo Evaluation of Saccharomyces-Modified Tempeh as Potential Prebiotic and Probiotic Food using Mus musculus as an Animal Model,2025,"Authors : ME Kustyawati, T Suryawan, S Rizal, EG Fadhallah, KN Berawi","Journal of Multidisciplinary Applied Natural Science 5 (1), 218-227, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'In vivo Evaluation of Saccharomyces-Modified Tempeh as Potential Prebiotic and Probiotic Food using Mus musculus as an Animal Model'
Impact of High-Temperature Heating on the Chemical Stability and Sensory Quality of Red Palm Oil,2025,"Authors : S Hidayati, A Rahmawati, E Suroso, S Subeki, TP Utomo","Jurnal Teknik Pertanian Lampung (Journal of Agricultural Engineering) 14 (1 …, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Impact of High-Temperature Heating on the Chemical Stability and Sensory Quality of Red Palm Oil'
Performance evaluation of feature extraction to improve the classification of PTM in C-glycosylation using XGBoost,2025,"Authors : D Damayanti, FR Lumbanraja, A Junaidi, S Sutyarso, GN Susanto, ...","Bulletin of Electrical Engineering and Informatics 14 (2), 1437-1446, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Performance evaluation of feature extraction to improve the classification of PTM in C-glycosylation using XGBoost'
PENGARUH BERBAGAI MACAM EMPON DAN SINBIOTIK TERHADAP PERTUMBUHAN LARVA UDANG PUTIH (Litopenaeus vannamei),2025,"Authors : S Sumardi, K Handayani, GN Susanto, N Ayuandira, E Prihadhi","Biospecies 18 (1), 25-33, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'PENGARUH BERBAGAI MACAM EMPON DAN SINBIOTIK TERHADAP PERTUMBUHAN LARVA UDANG PUTIH (Litopenaeus vannamei)'
A New Feature Extraction Approach in Classification for Improving the Accuracy of Proteins,2025,"Authors : D Damayanti, FR Lumbanraja, A Junaidi, S Sutyarso, GN Susanto, ...","JOIV: International Journal on Informatics Visualization 9 (1), 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'A New Feature Extraction Approach in Classification for Improving the Accuracy of Proteins'
Effect of crop intensity of soybean-cassava intercropping on storage capacity of soybean (Glycine max [L.] Merrill) seeds,2025,"Authors : E Pramono, MS Hadi, M Kamal, K Setiawan","BIO Web of Conferences 158, 03007, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Effect of crop intensity of soybean-cassava intercropping on storage capacity of soybean (Glycine max [L.] Merrill) seeds'
Effectiveness of the application of gibberellic acid (GA3) to stimulate the germination of artificially aged seeds of several sorghum (Sorghum bicolor (L.) Moench) genotypes,2025,"Authors : M Kamal, E Pramono, MS Hadi, K Setiawan, A Ardian, S Muhtadi, T Andis","BIO Web of Conferences 158, 03005, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Effectiveness of the application of gibberellic acid (GA3) to stimulate the germination of artificially aged seeds of several sorghum (Sorghum bicolor (L.) Moench) genotypes'
"Can photosynthesis rate and transpiration rates, and shoot dry matter distribution be selection indicator for early harvest cassava (Manihot esculenta Cranzt)?",2025,"Authors : K Setiawan, MS Hadi, AI Widiawati, M Kamal, A Ardian, A Karyanto, ...","BIO Web of Conferences 158, 03012, 2025",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Can photosynthesis rate and transpiration rates, and shoot dry matter distribution be selection indicator for early harvest cassava (Manihot esculenta Cranzt)?'"
Genetics variances of three elite cassava clones under different environment of fertilizer types,2025,"Authors : A Ardian, K Setiawan, M Kamal, E Pramono, MS Hadi, S Sungkono","BIO Web of Conferences 158, 03009, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Genetics variances of three elite cassava clones under different environment of fertilizer types'
PERMEABILITY AND COMPRESSIVE STRENGTH OF NORMAL CONCRETE SUBMERGED IN SEA AND BRACKISH WATER,2025,"Authors : C Niken, M Helmi, M Isneini, EP Wahono, DI Kusumastuti","Jurnal Teknologi (Sciences & Engineering) 87 (2), 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'PERMEABILITY AND COMPRESSIVE STRENGTH OF NORMAL CONCRETE SUBMERGED IN SEA AND BRACKISH WATER'
Community Social Capital in Supporting Ecosystem Recovery in Rawa Kidang of Way Kambas National Park,2025,"Authors : C Wulandari, LN Latifah, H Kaskoyo, YR Fitriana, Z Erdian, ...","Journal of Multidisciplinary Applied Natural Science 5 (1), 200-217, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Community Social Capital in Supporting Ecosystem Recovery in Rawa Kidang of Way Kambas National Park'
The Bioprospecting of endophytic fungi in mangrove as natural anti-Vibrio parahaemolyticus,2025,"Authors : ANA Zuhdy, A Setyawan, EL Widyastuti, AA Damai, P Budiono, ...","Global Forest Journal 3 (01), 41-50, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'The Bioprospecting of endophytic fungi in mangrove as natural anti-Vibrio parahaemolyticus'
"Carbon Emission Control Mechanism: Analysing the Role of Growth of the Transportation and Warehousing Sector, GDP, and Renewable Energy Consumption",2025,"Authors : H Wahyudi, D Wiryawan, SM Leny, UB Said, A Abdurahman","International Journal of Energy Economics and Policy 15 (1), 589-597, 2025",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Carbon Emission Control Mechanism: Analysing the Role of Growth of the Transportation and Warehousing Sector, GDP, and Renewable Energy Consumption'"
The Competitiveness of the Indonesian Medium High Technology Sector: Robust Least Squares and Fully Modified Ordinary Least Squares Approach,2025,"Authors : H Wahyudi, T Andrian, D Wiryawan, SM Leny, WR Lestari","International Review of Management and Marketing 15 (2), 51-59, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'The Competitiveness of the Indonesian Medium High Technology Sector: Robust Least Squares and Fully Modified Ordinary Least Squares Approach'
"Pengaruh Kualitas Produk, Keberagaman Produk, Harga, Serta Lokasi Terhadap Niat Beli Ulang Di Pempek Fresh Cafe Bandar Lampung",2025,"Authors : JD Anissa, D Wiryawan","Economics and Digital Business Review 6 (1), 579-605, 2025",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Pengaruh Kualitas Produk, Keberagaman Produk, Harga, Serta Lokasi Terhadap Niat Beli Ulang Di Pempek Fresh Cafe Bandar Lampung'"
Green Synthesis of Hierarchical H-ZSM-5 from Sugarcane Bagasse Silica and Application as Catalyst for Conversion of Cellulose into Glucose,2025,"Authors : M Rilyanti, ADW Ningrum, I Ilim, S Suharso, M Mulyono, M Ayoub, ...","Journal of Multidisciplinary Applied Natural Science 5 (1), 305-319, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Green Synthesis of Hierarchical H-ZSM-5 from Sugarcane Bagasse Silica and Application as Catalyst for Conversion of Cellulose into Glucose'
Local wisdom-infused experiential learning and its effects on reading literacy: A meta-analysis,2025,"Authors : TA Huda, AB Setiyadi, EY Haenilah, NE Rusminto, RM Sinaga, MA Hamid","Journal of Education and Learning (EduLearn) 19 (3), 1743-1752, 2025",1 cited,https://scholar.google.com/scholar?q=+intitle:'Local wisdom-infused experiential learning and its effects on reading literacy: A meta-analysis'
Implementation of E-Module Flip Pdf Higher Order Thinking Skills to Improve Geography Learning Outcomes at Senior High School Level,2025,"Authors : DN Sofyan, H Herpratiwi, R Firdaus, M Nurwahidin","Jurnal Teknologi Pendidikan: Jurnal Penelitian dan Pengembangan Pembelajaran …, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Implementation of E-Module Flip Pdf Higher Order Thinking Skills to Improve Geography Learning Outcomes at Senior High School Level'
The Influence of Game Based Learning on Student Motivation in the Digital Era: Literature Review,2025,"Authors : MA Putri, H Herpratiwi, R Firdaus","Jurnal Teknologi Pendidikan: Jurnal Penelitian dan Pengembangan Pembelajaran …, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'The Influence of Game Based Learning on Student Motivation in the Digital Era: Literature Review'
Effectiveness of P5 Teaching Module Training at Al-Hakim Kalianda Kindergarten,2025,"Authors : MK Aradika, H Herpratiwi, D Yulianti, U Rosidin","Jurnal Teknologi Pendidikan: Jurnal Penelitian dan Pengembangan Pembelajaran …, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Effectiveness of P5 Teaching Module Training at Al-Hakim Kalianda Kindergarten'
Spodoptera litura F. Immune System Against Exposure to the Biopesticide Mirabilis jalapa L.,2025,"Authors : D Maulina, SB Sumitro, SR Lestari, DD Djoa","AGRIVITA Journal of Agricultural Science 47 (1), 11-20, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Spodoptera litura F. Immune System Against Exposure to the Biopesticide Mirabilis jalapa L.'
Improving Student’s Critical Thinking Skills and Sustainability Awareness using Problem Based Learning Model,2025,"Authors : D Maulina, MA Priadi, M Gustina, I Rakhmawati","Jurnal Pendidikan Sains Indonesia 13 (1), 178-188, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Improving Student’s Critical Thinking Skills and Sustainability Awareness using Problem Based Learning Model'
Kuliah Kerja Nyata: Digitalisasi Pemasaran UMKM Di Desa Tegur Wangi Lama,2025,"Authors : N Nurmaleni, C Rahayu, K Kasman","Mestaka: Jurnal Pengabdian Kepada Masyarakat 4 (1), 53-57, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Kuliah Kerja Nyata: Digitalisasi Pemasaran UMKM Di Desa Tegur Wangi Lama'
"Carbon Emission Control Mechanism: Analysing the Role of Growth of the Transportation and Warehousing Sector, GDP, and Renewable Energy Consumption",2025,"Authors : H Wahyudi, D Wiryawan, SM Leny, UB Said, A Abdurahman","International Journal of Energy Economics and Policy 15 (1), 589-597, 2025",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Carbon Emission Control Mechanism: Analysing the Role of Growth of the Transportation and Warehousing Sector, GDP, and Renewable Energy Consumption'"
The Competitiveness of the Indonesian Medium High Technology Sector: Robust Least Squares and Fully Modified Ordinary Least Squares Approach,2025,"Authors : H Wahyudi, T Andrian, D Wiryawan, SM Leny, WR Lestari","International Review of Management and Marketing 15 (2), 51-59, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'The Competitiveness of the Indonesian Medium High Technology Sector: Robust Least Squares and Fully Modified Ordinary Least Squares Approach'
"Pengaruh Kualitas Produk, Keberagaman Produk, Harga, Serta Lokasi Terhadap Niat Beli Ulang Di Pempek Fresh Cafe Bandar Lampung",2025,"Authors : JD Anissa, D Wiryawan","Economics and Digital Business Review 6 (1), 579-605, 2025",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Pengaruh Kualitas Produk, Keberagaman Produk, Harga, Serta Lokasi Terhadap Niat Beli Ulang Di Pempek Fresh Cafe Bandar Lampung'"
Impact of Covid–19 and Foreign Direct Investment on Indonesia’s Economic Growth,2025,"Authors : IW Suparta, D Wiryawan, U Ciptawaty, H Wahyudi","International Journal of Economics and Financial Issues 15 (2), 1-8, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Impact of Covid–19 and Foreign Direct Investment on Indonesia’s Economic Growth'
Factors Affecting Academic Stress in Medical Students Literature Review,2025,"Authors : QA Nirwan, S Rahmanisa, SA Daulay, RDP Sari","Medical Profession Journal of Lampung 14 (10), 2019-2024, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Factors Affecting Academic Stress in Medical Students Literature Review'
Construction of the Rough Quotient Modules over the Rough Ring by Using Coset Concepts,2025,"Authors : A Rahma, Fitriani, A Faisol","Journal of Fundamental Mathematics and Applications (JFMA) 8 (1), 24-32, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Construction of the Rough Quotient Modules over the Rough Ring by Using Coset Concepts'
Green Synthesis of Hierarchical H-ZSM-5 from Sugarcane Bagasse Silica and Application as Catalyst for Conversion of Cellulose into Glucose,2025,"Authors : M Rilyanti, ADW Ningrum, I Ilim, S Suharso, M Mulyono, M Ayoub, ...","Journal of Multidisciplinary Applied Natural Science 5 (1), 305-319, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Green Synthesis of Hierarchical H-ZSM-5 from Sugarcane Bagasse Silica and Application as Catalyst for Conversion of Cellulose into Glucose'
Local wisdom-infused experiential learning and its effects on reading literacy: A meta-analysis,2025,"Authors : TA Huda, AB Setiyadi, EY Haenilah, NE Rusminto, RM Sinaga, MA Hamid","Journal of Education and Learning (EduLearn) 19 (3), 1743-1752, 2025",1 cited,https://scholar.google.com/scholar?q=+intitle:'Local wisdom-infused experiential learning and its effects on reading literacy: A meta-analysis'
Implementation of E-Module Flip Pdf Higher Order Thinking Skills to Improve Geography Learning Outcomes at Senior High School Level,2025,"Authors : DN Sofyan, H Herpratiwi, R Firdaus, M Nurwahidin","Jurnal Teknologi Pendidikan: Jurnal Penelitian dan Pengembangan Pembelajaran …, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Implementation of E-Module Flip Pdf Higher Order Thinking Skills to Improve Geography Learning Outcomes at Senior High School Level'
The Influence of Game Based Learning on Student Motivation in the Digital Era: Literature Review,2025,"Authors : MA Putri, H Herpratiwi, R Firdaus","Jurnal Teknologi Pendidikan: Jurnal Penelitian dan Pengembangan Pembelajaran …, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'The Influence of Game Based Learning on Student Motivation in the Digital Era: Literature Review'
Effectiveness of P5 Teaching Module Training at Al-Hakim Kalianda Kindergarten,2025,"Authors : MK Aradika, H Herpratiwi, D Yulianti, U Rosidin","Jurnal Teknologi Pendidikan: Jurnal Penelitian dan Pengembangan Pembelajaran …, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Effectiveness of P5 Teaching Module Training at Al-Hakim Kalianda Kindergarten'
Spodoptera litura F. Immune System Against Exposure to the Biopesticide Mirabilis jalapa L.,2025,"Authors : D Maulina, SB Sumitro, SR Lestari, DD Djoa","AGRIVITA Journal of Agricultural Science 47 (1), 11-20, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Spodoptera litura F. Immune System Against Exposure to the Biopesticide Mirabilis jalapa L.'
Improving Student’s Critical Thinking Skills and Sustainability Awareness using Problem Based Learning Model,2025,"Authors : D Maulina, MA Priadi, M Gustina, I Rakhmawati","Jurnal Pendidikan Sains Indonesia 13 (1), 178-188, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Improving Student’s Critical Thinking Skills and Sustainability Awareness using Problem Based Learning Model'
ExPRession-based E-Worksheet (EBEW): An effort to enhance student'computational thinking skills,2025,"Authors : K Herlina, A Abdurrahman, AN Umam, A Nurjanah, GF Rabbani, ...","Journal of Technology and Science Education 15 (1), 50-63, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'ExPRession-based E-Worksheet (EBEW): An effort to enhance student'computational thinking skills'
Teachers' Perception toward e-LKPD STEM-EDP to Improve System Thinking Skills and Creative Problem Solving Skills,2025,"Authors : A Atina, K Herlina","Jurnal Penelitian Pendidikan IPA 11 (1), 800-808, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Teachers' Perception toward e-LKPD STEM-EDP to Improve System Thinking Skills and Creative Problem Solving Skills'
Analysis of Teachers' Needs in Renewable Energy Learning Programs Using SSI Integrated with PjBL-STEM to Enhance Collaborative Problem-Solving and Entrepreneurial Skills,2025,"Authors : S Rahayu, K Herlina, A Suyatna, C Ertikanto","Jurnal Penelitian Pendidikan IPA 11 (1), 774-782, 2025",0 cited,https://scholar.google.com/scholar?q=+intitle:'Analysis of Teachers' Needs in Renewable Energy Learning Programs Using SSI Integrated with PjBL-STEM to Enhance Collaborative Problem-Solving and Entrepreneurial Skills'
