Judul,Tahun,Penulis,Publikasi,Dikutip,Link
"Pelatihan membuat media Komik, Scratchbook, dan Mading untuk Menumbuhkan Minat Baca Anak di Rumah Literasi Sidomulyo Kulon Progo",2024,"Authors : K Nisa, AD Prananda, P Handayani, RF Ardiansyah, V Damayati, ...","Karya Nyata: Jurnal Pengabdian kepada Masyarakat 1 (2), 72-82, 2024",3 cited,"https://scholar.google.com/scholar?q=+intitle:'Pelatihan membuat media Komik, Scratchbook, dan Mading untuk Menumbuhkan Minat Baca Anak di Rumah Literasi Sidomulyo Kulon Progo'"
Peran Budaya Organisasi Dalam Meningkatkan Kinerja Guru Di Mal UINSU,2024,"Authors : NK Daulay, N Azzahrah, K Nisa, A Tanjung, MA Harahap","Innovative: Journal Of Social Science Research 4 (4), 4068-4075, 2024",2 cited,https://scholar.google.com/scholar?q=+intitle:'Peran Budaya Organisasi Dalam Meningkatkan Kinerja Guru Di Mal UINSU'
Pembinaan Dan Pendampingan Pembuatan NIB Oleh Mahasiswa Dalam Rangka Memajukan UMKM Sari Kedelai Sidoarjo,2024,"Authors : K Nisa, LNL Muchlis, NI Febrianty, NI Qurratu’aini","Karunia: Jurnal Hasil Pengabdian Masyarakat Indonesia 3 (2), 42-48, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Pembinaan Dan Pendampingan Pembuatan NIB Oleh Mahasiswa Dalam Rangka Memajukan UMKM Sari Kedelai Sidoarjo'
Perbandingan Pembobot Welsch dan Tukey Bisquare pada Regresi Robust S-estimator,2024,"Authors : F Nurhafifah, K Nisa, RA Wibowo","Sciencestatistics: Journal of Statistics, Probability, and Its Application 2 …, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Perbandingan Pembobot Welsch dan Tukey Bisquare pada Regresi Robust S-estimator'
Peran Literasi di Era Digital Dalam Menghadapi Hoaks dan Disinformasi di Media Sosial,2024,Authors : K Nisa,"Impressive: Journal of Education 2 (1), 1-11, 2024",12 cited,https://scholar.google.com/scholar?q=+intitle:'Peran Literasi di Era Digital Dalam Menghadapi Hoaks dan Disinformasi di Media Sosial'
"Scientific mapping and production analysis of digital comic, animation, and digital cartoon in education",2024,"Authors : N Suprapto, K Nisa, I Sya’roni, AS Adam","Humanities and Social Sciences Communications 11 (1), 1-13, 2024",2 cited,"https://scholar.google.com/scholar?q=+intitle:'Scientific mapping and production analysis of digital comic, animation, and digital cartoon in education'"
ANALISIS KANDUNGAN KADAR LOGAM BERAT TIMBAL (Pb) DI PERAIRAN PULAU PAHAWANG DENGAN METODE SPEKTROFOTOMETRI SERAPAN ATOM (SSA),2024,"Authors : ER Pane, K Nisa, T Sunarsih","Jurnal Multidisipliner Kapalamada 3 (01), 32-44, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'ANALISIS KANDUNGAN KADAR LOGAM BERAT TIMBAL (Pb) DI PERAIRAN PULAU PAHAWANG DENGAN METODE SPEKTROFOTOMETRI SERAPAN ATOM (SSA)'
THE EFFECT OF USING VIDEO ANIMATION TOWARD STUDENTS’LISTENING SKILLS,2024,"Authors : K Nisa, S Aryanika","The Journal of Language and Literature Insights 1 (1), 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'THE EFFECT OF USING VIDEO ANIMATION TOWARD STUDENTS’LISTENING SKILLS'
Teknik Pemeriksaan Parasit Myxobolus sp. pada Ikan Hias Air Tawar di Balai Karantina Ikan Pengendalian Mutu dan Keamanan Hasil Perikanan Surabaya I,2024,"Authors : K Nisa, S Indriyani, AD Nurekawati, MA Fitri, H Kenconojati, R Septiwulan, ...","Manfish: Jurnal Ilmiah Perikanan dan Peternakan 2 (2), 40-47, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Teknik Pemeriksaan Parasit Myxobolus sp. pada Ikan Hias Air Tawar di Balai Karantina Ikan Pengendalian Mutu dan Keamanan Hasil Perikanan Surabaya I'
"Mengoptimalkan Usaha Mikro Dan Kecil Di Daerah Kelurahan Ciputat, Tangerang Selatan",2024,"Authors : AE Wicaksono, K Nisa, MR Akbar, MK Anam, L Yumna","Jurnal Pengabdian ADPIKS 2 (1), 2024",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Mengoptimalkan Usaha Mikro Dan Kecil Di Daerah Kelurahan Ciputat, Tangerang Selatan'"
Pengaruh Harga Dan Kualitas Pelayanan Terhadap Kepuasan Pelanggan Pada Salon Kecantikan Tiara Surabaya,2024,"Authors : K Nisa, I Farida","Soetomo Management Review 2 (5), 631-638, 2024",1 cited,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Harga Dan Kualitas Pelayanan Terhadap Kepuasan Pelanggan Pada Salon Kecantikan Tiara Surabaya'
PELATIHAN PEMBUATAN MEDIA BERBASIS WEB DI SEKOLAH DASAR ISLAM MUHAMMADIYAH 1 PANJI SITUBONDO,2024,"Authors : GA Setiawan, N Hidayat, AR Puspitaningtyas, NF Fasica, K Nisa, ...","PROSIDING SEMINAR NASIONAL UNARS 3 (1), 219-227, 2024",1 cited,https://scholar.google.com/scholar?q=+intitle:'PELATIHAN PEMBUATAN MEDIA BERBASIS WEB DI SEKOLAH DASAR ISLAM MUHAMMADIYAH 1 PANJI SITUBONDO'
Comparison of spatial autoregressive (SAR) and geographically weighted regression (GWR) based on simulation study,2024,"Authors : H Venelia, K Nisa, M Usman, E Setiawan","AIP Conference Proceedings 2970 (1), 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Comparison of spatial autoregressive (SAR) and geographically weighted regression (GWR) based on simulation study'
Hierarchical clustering analysis of human development index in Lampung Province,2024,"Authors : DDD Kemala, K Nisa, M Usman, N Herawati, D Aziz","AIP Conference Proceedings 2970 (1), 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Hierarchical clustering analysis of human development index in Lampung Province'
Structural equation modeling with generalized structured component analysis on the degree of public health in Indonesia,2024,"Authors : WU Dewi, K Nisa, E Setiawan, RA Yudanegara","AIP Conference Proceedings 2970 (1), 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Structural equation modeling with generalized structured component analysis on the degree of public health in Indonesia'
Structural equation modeling of student satisfaction on lecturer’s performance using diagonally weighted least square estimation,2024,"Authors : A Melinda, E Setiawan, K Nisa, N Herawati, S Saidi, RA Yudanegara","AIP Conference Proceedings 2970 (1), 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Structural equation modeling of student satisfaction on lecturer’s performance using diagonally weighted least square estimation'
Comparative Study in Controlling Outliers and Multicollinearity Using Robust Performance Jackknife Ridge Regression Estimator Based on Generalized-M and Least Trimmed Square …,2024,"Authors : G Saputri, N Herawati, T Ruby, K Nisa","Jambura Journal of Mathematics 6 (2), 147-151, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Comparative Study in Controlling Outliers and Multicollinearity Using Robust Performance Jackknife Ridge Regression Estimator Based on Generalized-M and Least Trimmed Square …'
Efek Penambahan Variasi Larutan Ion Ag+ dalam Pembuatan Kertas Antibakteri Berbasis Pulp Selulosa dari Kulit Kopi,2024,"Authors : MJ Al Faruq, FIP Putra, CI Prameswari, AA Nurohmah, K Cahyono, ...","Jurnal Teori dan Aplikasi Fisika 12 (02), 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Efek Penambahan Variasi Larutan Ion Ag+ dalam Pembuatan Kertas Antibakteri Berbasis Pulp Selulosa dari Kulit Kopi'
THE EFFECT OF BAGASSE WASTE QUALITY AS BIOMASS FUEL ON THE EFFICIENCY OF WATER TUBE-TYPE BOILERS,2024,"Authors : H Hadi Prayitno, Tazzidane Olsen Ba’albaqi, M Dyan Susila","Analit: Analytical and Environmental Chemistry 9 (01), 140-150, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'THE EFFECT OF BAGASSE WASTE QUALITY AS BIOMASS FUEL ON THE EFFICIENCY OF WATER TUBE-TYPE BOILERS'
Kajian Eksperimental Pengaruh Bentuk Sudu terhadap Unjuk Kerja Turbin Darrieus,2024,"Authors : JB Sinaga, MD Susila, M Badaruddin","Mechanical Jurnal Ilmiah Teknik Mesin 15 (1), ---, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Kajian Eksperimental Pengaruh Bentuk Sudu terhadap Unjuk Kerja Turbin Darrieus'
"Hubungan Karakteristik Individu dengan Tingkat Adopsi Petani terhadap Combine Harvester di Desa Kalisari, Kabupaten Lampung Selatan",2024,"Authors : K Sari, SS Soepratikno, I Nurmayasari, I Listiana","Journal of Socio-economics on Tropical Agriculture (Jurnal Sosial Ekonomi …, 2024",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Hubungan Karakteristik Individu dengan Tingkat Adopsi Petani terhadap Combine Harvester di Desa Kalisari, Kabupaten Lampung Selatan'"
"PERBEDAAN PENILAIAN PEMBELI MAKAN SIANG DAN MALAM TERHADAP ATRIBUT RUMAH MAKAN PADANG X, BANDAR LAMPUNG",2024,"Authors : RD Putri, A Hudoyo, M Riantini","Jurnal Ilmu-Ilmu Agribisnis 12 (1), 58-65, 2024",0 cited,"https://scholar.google.com/scholar?q=+intitle:'PERBEDAAN PENILAIAN PEMBELI MAKAN SIANG DAN MALAM TERHADAP ATRIBUT RUMAH MAKAN PADANG X, BANDAR LAMPUNG'"
"Persiapan Masa Purnabakti, Pentingnya Peningkatan Pengetahuan Pola Hidup Sehat dan Mengatasi Masalah Kesehatan pada Usia Pensiun",2024,"Authors : S Mustofa, NA Sani","Medical Profession Journal of Lampung 14 (1), 196-204, 2024",1 cited,"https://scholar.google.com/scholar?q=+intitle:'Persiapan Masa Purnabakti, Pentingnya Peningkatan Pengetahuan Pola Hidup Sehat dan Mengatasi Masalah Kesehatan pada Usia Pensiun'"
Pengembangan Riset Terkini Pemanfaatan Tanaman Obat dalam Penemuan Obat Baru dan Mekanismenya dalam Pengobatan Penyakit: Pengembangan Riset Terkini Pemanfaatan Tanaman Obat …,2024,"Authors : S Mustofa, FC Namdes","Medical Profession Journal of Lampung 14 (1), 106-112, 2024",2 cited,https://scholar.google.com/scholar?q=+intitle:'Pengembangan Riset Terkini Pemanfaatan Tanaman Obat dalam Penemuan Obat Baru dan Mekanismenya dalam Pengobatan Penyakit: Pengembangan Riset Terkini Pemanfaatan Tanaman Obat …'
"Influence of Rhizophora apiculata barks extract on cholesterol, triglyceride, LDL, and HDL levels of Rattus norvegicus (Sprague Dawley) fed high-cholesterol diet",2024,"Authors : S Mustofa, ANT Adjeng, E Kurniawaty, L Ramadhita, T Tamara","Research Journal of Pharmacy and Technology 17 (1), 396-400, 2024",13 cited,"https://scholar.google.com/scholar?q=+intitle:'Influence of Rhizophora apiculata barks extract on cholesterol, triglyceride, LDL, and HDL levels of Rattus norvegicus (Sprague Dawley) fed high-cholesterol diet'"
Metode Molekuler untuk Mendeteksi Mikroba Penyebab Penyakit Patogen,2024,"Authors : S Mustofa, P Adilla","Medical Profession Journal of Lampung 14 (2), 351-354, 2024",1 cited,https://scholar.google.com/scholar?q=+intitle:'Metode Molekuler untuk Mendeteksi Mikroba Penyebab Penyakit Patogen'
"Pengaruh Pemberian Minyak Jelantah 1, 5 mL/Hari Selama 14 Hari Terhadap Histopatologi Hepar Rattus norvegicus Jantan",2024,"Authors : RC Ersa, S Susianti, E Kurniawaty, S Mustofa","Medical Profession Journal of Lampung 14 (5), 901-906, 2024",1 cited,"https://scholar.google.com/scholar?q=+intitle:'Pengaruh Pemberian Minyak Jelantah 1, 5 mL/Hari Selama 14 Hari Terhadap Histopatologi Hepar Rattus norvegicus Jantan'"
"Makna denotasi, konotasi, dan mitos dalam esai “saya dan islam” karya linda christanty: Kajian semiotika roland barthes",2024,"Authors : MR Hidayatullah, K Nisa","Aksara: Jurnal Bahasa dan Sastra 25 (1), 356-366, 2024",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Makna denotasi, konotasi, dan mitos dalam esai “saya dan islam” karya linda christanty: Kajian semiotika roland barthes'"
Penurunan Tekanan Darah Penderita Hipertensi pada Lansia melalui TOMBO ATI (Tanaman Obat Anti Hipertensi) di Wilayah Kerja UPTD Puskesmas Mejobo Kudus,2024,"Authors : IN Pramudaningsih, K Rofiah, K Nisa","Jurnal Pengabdian dan Pemberdayaan Kesehatan 1 (1), 59-68, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Penurunan Tekanan Darah Penderita Hipertensi pada Lansia melalui TOMBO ATI (Tanaman Obat Anti Hipertensi) di Wilayah Kerja UPTD Puskesmas Mejobo Kudus'
PELAKSANAAN PROGRAM IMTAQ DALAM MEMBENTUK SIKAP SPIRITUAL SISWA SEKOLAH MENENGAH PERTAMA NEGERI 7 MANDAU,2024,Authors : K NISA,"Universitas Islam Negeri Sultan Syarif Kasim Riau, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'PELAKSANAAN PROGRAM IMTAQ DALAM MEMBENTUK SIKAP SPIRITUAL SISWA SEKOLAH MENENGAH PERTAMA NEGERI 7 MANDAU'
PENGARUH BEASISWA KIP-K DAN MOTIVASI BELAJAR TERHADAP PRESTASI AKADEMIK MAHASISWA PENERIMA BEASISWA KIP-K ANGKATAN 2020 DAN 2021 FAKULTAS ILMU TARBIYAH DAN KEGURUAN UIN SUNAN …,2024,Authors : K Nisa,"UIN SUNAN KALIJAGA YOGYAKARTA, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'PENGARUH BEASISWA KIP-K DAN MOTIVASI BELAJAR TERHADAP PRESTASI AKADEMIK MAHASISWA PENERIMA BEASISWA KIP-K ANGKATAN 2020 DAN 2021 FAKULTAS ILMU TARBIYAH DAN KEGURUAN UIN SUNAN …'
Pentas Seni Islami (PENSIL) sebagai Upaya Peningkatan Kereativitas Peserta Didik MTs Mardiyah Islamiyah,2024,"Authors : M Basri, N Aini, N Umami, K Nisa","Jurnal Pengabdian Sosial 1 (7), 557-561, 2024",1 cited,https://scholar.google.com/scholar?q=+intitle:'Pentas Seni Islami (PENSIL) sebagai Upaya Peningkatan Kereativitas Peserta Didik MTs Mardiyah Islamiyah'
Peningkatan pemahaman materi rangkaian listrik Untuk Mahasiswa PGSD UMS melalui Media Elektroconnect,2024,"Authors : S Fajarwati, MF Afifah, K Nisa, SR Gusmiarni, H Khoiriyah","Journal of Smart Education and Learning 1 (1), 39-48, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Peningkatan pemahaman materi rangkaian listrik Untuk Mahasiswa PGSD UMS melalui Media Elektroconnect'
Pengaruh kepemimpinan transformasional dan lingkungan kerja terhadap kepuasan kerja karyawan dengan motivasi kerja sebagai variabel mediasi: Studi pada karyawan PT. Citiplan …,2024,Authors : K Nisa,"Universitas Islam Negeri Maulana Malik Ibrahim, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Pengaruh kepemimpinan transformasional dan lingkungan kerja terhadap kepuasan kerja karyawan dengan motivasi kerja sebagai variabel mediasi: Studi pada karyawan PT. Citiplan …'
Peran Guru Pendamping Dalam Pembelajaran di SD Islamic Center Samarinda,2024,Authors : K Nisa,"UINSI Samarinda, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Peran Guru Pendamping Dalam Pembelajaran di SD Islamic Center Samarinda'
PENGARUH PENGENDALIAN INTERNAL COSO TERHADAP KEBERLANGSUNGAN LEMBAGA PERKREDITAN DESA,2024,"Authors : B Nugroho, K Nisa","Jurnal Ilmiah Akuntansi 1 (1), 1-8, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'PENGARUH PENGENDALIAN INTERNAL COSO TERHADAP KEBERLANGSUNGAN LEMBAGA PERKREDITAN DESA'
Penilaian formatif dalam kurikulum merdeka pada mata pelajaran bahasa indonesia kelas 4 SDIT Rabbi Radhiyya 01,2024,"Authors : K Nisa, K Ummul, AR Ningtyas","Institut Agama Islam Negeri Curup, 2024",1 cited,https://scholar.google.com/scholar?q=+intitle:'Penilaian formatif dalam kurikulum merdeka pada mata pelajaran bahasa indonesia kelas 4 SDIT Rabbi Radhiyya 01'
Peningkatan hasil belajar Bahasa Indonesia menggunakan model picture and picture di Kelas IV SD Negeri 200205 Padangsidimpuan,2024,Authors : K Nisa,"UIN Syekh Ali Hasan Ahmad Addary Padangsidimpuan, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Peningkatan hasil belajar Bahasa Indonesia menggunakan model picture and picture di Kelas IV SD Negeri 200205 Padangsidimpuan'
Pendekatan Sistem Pembelajaran Di UPT SMP Negeri 27 Medan,2024,"Authors : D Oktavia, IT Hasibuan, K Nisa, M Maulidayani","Wawasan: Jurnal Ilmu Manajemen, Ekonomi dan Kewirausahaan 2 (1), 255-263, 2024",1 cited,https://scholar.google.com/scholar?q=+intitle:'Pendekatan Sistem Pembelajaran Di UPT SMP Negeri 27 Medan'
Ethnoscience-Quizizz test to measure problem-solving skills: a Rasch analysis,2024,"Authors : K Nisa, N Suprapto, MZ Amiruddin, EPDN Sari, BD Athiah","Int J Eval & Res Educ 13 (6), 4247-4255, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Ethnoscience-Quizizz test to measure problem-solving skills: a Rasch analysis'
Explore action to enhance net zero emission 2050: Research trends and the way forward 13th SDGs?,2024,"Authors : AI Safitri, N Suprapto, K Nisa, M Rofi, B Arymbekov","E3S Web of Conferences 568, 01004, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Explore action to enhance net zero emission 2050: Research trends and the way forward 13th SDGs?'
"Penguatan Pengetahuan Hukum Dalam Pembentukan Desa Edu Wisata Kragan, Gedangan, Kabupaten Sidoarjo",2024,"Authors : M Ma'ruf, RS Putra, N Fatimah, S Sabaya, K Nisa, CA Putri","Indonesia Berdaya 5 (4), 1401-1406, 2024",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Penguatan Pengetahuan Hukum Dalam Pembentukan Desa Edu Wisata Kragan, Gedangan, Kabupaten Sidoarjo'"
Pemberdayaan Petani Desa Borehbangle Melalui Pelatihan Pembuatan Pupuk Cair Organik Jenis NPK dan Urea,2024,"Authors : Z Anisah, M Mun’im, A Khoiriyah, AI Ummah, I Mawaddah, RN Aini, ...","Jurnal Pengabdian Masyarakat Nusantara 6 (4), 12-21, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Pemberdayaan Petani Desa Borehbangle Melalui Pelatihan Pembuatan Pupuk Cair Organik Jenis NPK dan Urea'
Peran Kepolisian Terhadap Pengendara Di Bawah Umur Menurut Undang-Undang Nomor. 22 Tahun 2009 Di Wilayah Hukum Polres Sampang,2024,Authors : K Nisa,"INSTITUT AGAMA ISLAM NEGERI MADURA, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Peran Kepolisian Terhadap Pengendara Di Bawah Umur Menurut Undang-Undang Nomor. 22 Tahun 2009 Di Wilayah Hukum Polres Sampang'
Enhancing Tuberculosis Diagnosis: Effective Naive Bayes Classification using SMOTE and Tomek Links for Imbalanced Data,2024,"Authors : N Faulina, K Nisa, W Warsono","InPrime: Indonesian Journal of Pure and Applied Mathematics 6 (2), 98-111, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Enhancing Tuberculosis Diagnosis: Effective Naive Bayes Classification using SMOTE and Tomek Links for Imbalanced Data'
PERAN MADRASAH DALAM PEMBENTUKAN KARAKTER PESERTA DIDIK BERBASIS NILAI NILAI KEAGAMAAN,2024,"Authors : K Nisa, MA Hikmah, HN Fadhilah, YA Bakar","Sindoro: Cendikia Pendidikan 8 (5), 91-100, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'PERAN MADRASAH DALAM PEMBENTUKAN KARAKTER PESERTA DIDIK BERBASIS NILAI NILAI KEAGAMAAN'
"Pengaruh Fitur, Desain Dan Variasi Terhadap Keputusan Pembelian Handphone Oppo Di Kalianda",2024,"Authors : K Nisa, T Tamam","Economics and Digital Business Review 5 (2), 554-559, 2024",1 cited,"https://scholar.google.com/scholar?q=+intitle:'Pengaruh Fitur, Desain Dan Variasi Terhadap Keputusan Pembelian Handphone Oppo Di Kalianda'"
Health Education and Dementia Screening In The Elderly Of Tresna Werdha Bhakti Yuswa Nursing Home South Lampung,2024,"Authors : F Saftarina, L Sidharti, D Mayasari, A Fauzi, HT Sibero","Community Development Journal 8 (1), 229-235, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Health Education and Dementia Screening In The Elderly Of Tresna Werdha Bhakti Yuswa Nursing Home South Lampung'
Training on Early Detection of Chronic Energy Deficiency in Pregnancy,2024,"Authors : DI Angraini, E Apriliana, R Zuraida, F Saftarina","Community Development Journal 8 (1), 263-272, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Training on Early Detection of Chronic Energy Deficiency in Pregnancy'
Penatalaksanaan Holistik Karyawan Swasta Usia 21 Tahun dengan Asma Intermitten melalui Pendekatan Kedokteran Keluarga,2024,"Authors : NAS Zahara, F Saftarina","Jurnal Penelitian Perawat Profesional 6 (5), 2059-2068, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Penatalaksanaan Holistik Karyawan Swasta Usia 21 Tahun dengan Asma Intermitten melalui Pendekatan Kedokteran Keluarga'
PENATALAKSANAAN HOLISTIK PADA WANITA USIA 72 TAHUN DENGAN HIPERTENSI DAN DISLIPIDEMIA MELALUI PENDEKATAN KEDOKTERAN KELUARGA DI WILAYAH KERJA PUSKESMAS RAJABASA INDAH,2024,"Authors : AR Pangestu, S Ibrahim, F Saftarina","Jurnal Medika Malahayati 8 (1), 119-133, 2024",1 cited,https://scholar.google.com/scholar?q=+intitle:'PENATALAKSANAAN HOLISTIK PADA WANITA USIA 72 TAHUN DENGAN HIPERTENSI DAN DISLIPIDEMIA MELALUI PENDEKATAN KEDOKTERAN KELUARGA DI WILAYAH KERJA PUSKESMAS RAJABASA INDAH'
Kesehatan Dan Keselamatan Kerja,2024,"Authors : SB Elva Rahmi Fitri, Afdhol Dzikri, Gandu Eko Julianto Suyoso, Gamasiano ...",,0 cited,https://scholar.google.com/scholar?q=+intitle:'Kesehatan Dan Keselamatan Kerja'
Penatalaksanaan Holistik Wanita Usia 26 Tahun Dengan Kekurangan Energi Kronis Melalui Pendekatan Dokter Keluarga di Wilayah Puskesmas Rajabasa Indah,2024,"Authors : EC Alia, NN Nyimas, F Saftarina, B Aprianna","Medical Profession Journal of Lampung 14 (6), 1109-1118, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Penatalaksanaan Holistik Wanita Usia 26 Tahun Dengan Kekurangan Energi Kronis Melalui Pendekatan Dokter Keluarga di Wilayah Puskesmas Rajabasa Indah'
Holistic Management of a 9 Year Old Boy Patient with Pulmonary TB Through a Family Doctor Approach in the Rajabasa Indah Community Health Center Area,2024,"Authors : SR Fadhila, KAN Siregar, T Malindasari, F Saftarina, BA Beauty","Medical Profession Journal of Lampung 14 (5), 1001-1010, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Holistic Management of a 9 Year Old Boy Patient with Pulmonary TB Through a Family Doctor Approach in the Rajabasa Indah Community Health Center Area'
DEPRESI POST PARTUM DAN INVERTED NIPPLE GRADE 1 MENGHAMBAT PRAKTIK PEMBERIAN ASI: Postpartum Depression And Inverted Nipple Grade 1 Inhibit Breastfeeding Practices,2024,"Authors : MAPA Yoga, DI Anggraini, F Saftarina","Media Gizi Pangan 31 (1), 112-124, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'DEPRESI POST PARTUM DAN INVERTED NIPPLE GRADE 1 MENGHAMBAT PRAKTIK PEMBERIAN ASI: Postpartum Depression And Inverted Nipple Grade 1 Inhibit Breastfeeding Practices'
PENATALAKSANAAN PEREMPUAN USIA 53 TAHUN DENGAN SINDROM METABOLIK MELALUI PENDEKATAN KEDOKTERAN KELUARGA,2024,"Authors : AR Pangestu, S Ibrahim, F Saftarina, R Febriawan","Jurnal Ilmu Kedokteran dan Kesehatan 11 (4), 708-719, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'PENATALAKSANAAN PEREMPUAN USIA 53 TAHUN DENGAN SINDROM METABOLIK MELALUI PENDEKATAN KEDOKTERAN KELUARGA'
PENGEMBANGAN SISTEM PENGOLAHAN DATA PENILAIAN REKOGNISI PEMBELAJARAN LAMPAU UNTUK PROGRAM PROFESI INSINYUR MENGGUNAKAN METODE SCRUM,2024,"Authors : T Septiana, D Despa, F Hamdani, D Budiyanto","Jurnal Informatika dan Teknik Elektro Terapan 12 (2), 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'PENGEMBANGAN SISTEM PENGOLAHAN DATA PENILAIAN REKOGNISI PEMBELAJARAN LAMPAU UNTUK PROGRAM PROFESI INSINYUR MENGGUNAKAN METODE SCRUM'
PEMBERDAYAAN KADER KESEHATAN REMAJA MELALUI DIGITALISASI PEMANTAUAN JENTIK DAN PENDAMPINGAN PELAKSANAAN TRIAS USAHA KESEHATAN SEKOLAH,2024,"Authors : A Hidayat, N Hidayah, B Nugraha, M Mahmudah, K Nisa, NA Fawwaz, ...","JMM (Jurnal Masyarakat Mandiri) 8 (6), 6400-6408, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'PEMBERDAYAAN KADER KESEHATAN REMAJA MELALUI DIGITALISASI PEMANTAUAN JENTIK DAN PENDAMPINGAN PELAKSANAAN TRIAS USAHA KESEHATAN SEKOLAH'
TEORI KONSTRUKTIVISME: IMPLEMENTASI PEMBELAJARAN BERBASIS MASALAH UNTUK MENINGKATKAN BERPIKIR KRITIS DALAM PEMBELAJARAN PAI,2024,"Authors : K Nisa, M Tiara, D Irama, S Sutarto, S Rizal","Jurnal Literasiologi 12 (4), 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'TEORI KONSTRUKTIVISME: IMPLEMENTASI PEMBELAJARAN BERBASIS MASALAH UNTUK MENINGKATKAN BERPIKIR KRITIS DALAM PEMBELAJARAN PAI'
Peningkatan Kesejahteraan Emosional Santri Melalui Praktik Mindfulness dan Refleksi Spiritual,2024,Authors : K Nisa,"Jurnal Educazione: Jurnal Pendidikan, Pembelajaran dan Bimbingan dan …, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Peningkatan Kesejahteraan Emosional Santri Melalui Praktik Mindfulness dan Refleksi Spiritual'
PENDAMPINGAN BRANDING DAN EDUKASI SUMBER DAYA MANUSIA KEWIRAUSAHAAN BAGI PELAKU UMKM,2024,"Authors : P Ananditya, K Nisa, ZD Widodo, D Karsono, FAL Primantari, ...","Jurnal Pengabdian Kepada Masyarakat Tunas Membangun 4 (2), 22-28, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'PENDAMPINGAN BRANDING DAN EDUKASI SUMBER DAYA MANUSIA KEWIRAUSAHAAN BAGI PELAKU UMKM'
Audit Infrastruktur TIK Sistem Pemerintahan Berbasis Elektronik Pada Pemerintah Daerah Kabupaten Karawang Menggunakan Audit Tools Brin,2024,"Authors : M Iqbal, K Nisa","Journal of Information System, Informatics and Computing 8 (2), 104-124, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Audit Infrastruktur TIK Sistem Pemerintahan Berbasis Elektronik Pada Pemerintah Daerah Kabupaten Karawang Menggunakan Audit Tools Brin'
Development of an intelligent expert system with deep learning for early risk detection of monkeypox,2024,"Authors : B Rahmadhani, AFA Bakhti, R Ardianto, A Wirasto, K Nisa","Proceeding ICHBS 1 (1), 378-393, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Development of an intelligent expert system with deep learning for early risk detection of monkeypox'
Pemberdayaan Ibu Hamil Dalam Pencegahan Anemia,2024,"Authors : LU Azmy, NP Amallillah, K Nisa","JPMA: JURNAL PENGABDIAN MASYARAKAT AL-QODIRI 3 (4), 212-216, 2024",0 cited,https://scholar.google.com/scholar?q=+intitle:'Pemberdayaan Ibu Hamil Dalam Pencegahan Anemia'
